subband,center_frequency_hz,average_gain_db
0,-468750.0,-24.973397953538484
1,-406250.0,-20.635354192295022
2,-343750.0,-20.96072946306146
3,-281250.0,-20.155719840336207
4,-218750.0,-19.94018726249065
5,-156250.0,-19.421262283682857
6,-93750.0,-19.76746622306173
7,-31250.0,-19.43151729851058
8,31250.0,-18.65636318366031
9,93750.0,-20.033006391404324
10,156250.0,-19.382933118929476
11,218750.0,-20.236498134351912
12,281250.0,-20.475669659002506
13,343750.0,-20.56037425937928
14,406250.0,-21.695190911423325
15,468750.0,-25.996053085576577
